Store,Address,Latitude,Longitude,
목동점,서울특별시 양천구 목동동로 293 현대41타워1층 ,37.52825961,126.8758447,
여의도34번지점,서울특별시 영등포구 국제금융로 52 심팩빌딩 1층 ,37.52296029,126.9295771,
여의도교보증권점,서울특별시 영등포구 의사당대로 97 26-4 교보증권빌딩1층 ,37.52270492,126.9245978,
시흥홈플러스점,서울특별시 금천구 시흥대로 201 1층 ,37.45215554,126.9006818,
여의도순복음교회옆점,서울특별시 영등포구 여의서로 43 한서리버파크2층 ,37.5306654,126.9248008,
부산광복동점,부산광역시 중구 창선동 2가 8-2 ,35.0996943,129.0289511,
인천구월동점,"인천광역시 남동구 예술로 138 지상1,2층  ",37.44639599,126.7009972,
대전탄방동점,대전광역시 서구 문정로76 1층 ,36.34656531,127.3876633,
일산라페스타점,경기도 고양시 일산동구 장항동 764 라페스타C동 ,37.66093432,126.7690066,
일산웨스턴돔1호점,경기도 고양시 일산동구 정발산로 24 I동103~203호 ,37.65590829,126.7719438,
분당서현점,"경기도 성남시 분당구 분당로53번길 11 1층2,3호  ",37.38423508,127.1215307,
분당플라자점,경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층 ,37.38518029,127.1218268,
분당차병원점,경기도 성남시 분당구 야탑동354 분당차병원신관1층분당차1호 ,37.41120251,127.1263796,
분당수내점,경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층 ,37.37863846,127.1121006,
동탄라마다호텔점,경기도 화성시 노작로 199 동탄라마다호텔107호~111호 ,37.20601831,127.0745848,
일산킨텍스현대백화점점,경기도 고양시 일산서구 대화동 2602 현대백화점킨텍스점 5F ,37.66826869,126.7515945,
창원상남동점,경상남도 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호 ,35.22367361,128.6807925,
청주점,충북 청주시 상당구 상당로69번길20 2~4층 ,36.63466045,127.4892797,
고대세종캠퍼스점,세종특별자치시 세종시 세종로 2511 고대세종캠퍼스호연학사4관1층 ,36.6094802,127.28984,
청주지웰시티점,"충북 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호  ",36.64392306,127.4268753,
무교CBTL점,서울특별시 중구 세종대로 136 파이낸스빌딩 ,37.56850814,126.9782215,
국기원사거리점,서울특별시 강남구 테헤란로 8길 42 1층 ,37.49627605,127.0320767,
무교점,"서울특별시 중구 태평로1 84호 SFC빌딩B1,1-4  ",37.56860575,126.9778253,
남대문점,서울특별시 중구 후암로110 581호 서울특별시티타워1층 ,37.55444362,126.9739616,
올림픽플라자,서울특별시 송파구 양재대로 1222 올림픽선수A 1층212~3호 ,37.5159069,127.1322328,
대학로마로니에점,"서울특별시 종로구 대학로 12길 62 지하1층,지상1,2층  ",37.58159274,127.0036852,
여의도역점,서울특별시 영등포구 의사당대로 108 아일렉스상가 1층 101호 ,37.52115122,126.9240438,
인사점,서울특별시 종로구 낙원동 272 오라카이스위츠 1층 ,37.57317427,126.9873852,
테헤란로비젼타워점,서울특별시 강남구 테헤란로 312 707-2번지1층 ,37.50195211,127.0367069,
서울대입구역점,"서울특별시 관악구 관악로 161 층일부 2,3층  ",37.47981619,126.9521709,
코엑스인터점,서울특별시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드 ,37.51285707,127.0573954,
수유역점,서울특별시 강북구 도봉로 352 효성네오인텔리안 101호 ,37.63892585,127.026876,
뉴압구정점,서울특별시 강남구 논현로 167길 9 낙산프라자 1층 ,37.52455727,127.0273842,
디큐브시티점,서울특별시 구로구 경인로 662 디큐브시티 4층 ,37.50916251,126.8894292,
삼청동점,서울특별시 종로구 삼청로 109 ,37.58531313,126.9819871,
충무로극동빌딩점,서울특별시 중구 퇴계로 173 남산스퀘어 1층 ,37.5620125,126.9909514,
현대자동차여의도점,서울특별시 영등포구 국제금융로 20 1층 ,37.52504428,126.9272419,
포스코사거리점,서울특별시 강남구 테헤란로 439 ,37.50698763,127.0551206,
선릉로93길점,서울특별시 강남구 선릉로93길 6(역삼동) 1층 ,37.50612181,127.0479815,
강남역먹자골목점,서울특별시 강남구 테헤란로1길 29 1층일부 및 2.3층 ,37.50031842,127.0270793,
삼성로점,"서울특별시 강남구 삼성로 551 1층,2층  ",37.51088685,127.0540114,
서초우성아파트앞점,서울특별시 서초구 사임당로 171(서초동) EWR빌딩 2층 ,37.49295363,127.0283903,
선릉로86길점,서울특별시 강남구 선릉로86길 11 ,37.50357896,127.0505628,
안국역점,"서울특별시 종로구 율곡로 47 1,2층  ",37.57651146,126.9845129,
뉴교보타워옆점,"서울특별시 서초구 강남대로 449-3 알고코리아빌딩 1,2층  ",37.50235027,127.0248667,
IFC MALL2호점,서울특별시 영등포구 국제금융로10 IFC B2층 ,37.5254418,126.9255746,
상암SBS미디어센터점,서울특별시 마포구 상암산로 82 SBS프리즘타워 1층 ,37.57981163,126.8926994,
마리오아울렛점,서울특별시 금천구 디지털로9길 23 마리오-2관 패션타워3층 ,37.48126257,126.8855985,
삼성금융플라자점,서울특별시 강남구 테헤란로 419 삼성금융플라자1층 ,37.50605959,127.0520322,
명동나인트리호텔점,서울특별시 중구 명동10길 51 나인트리호텔 본관2층 ,37.56176354,126.9859669,
이태원점,서울특별시 용산구 이태원로 189  ,37.53502737,126.9949554,
뉴가로수길점,서울특별시 강남구 압구정로12길 6 ,37.52369389,127.0223428,
서초뱅뱅사거리점,"서울특별시 서초구 강남대로 267 2,3층  ",37.48732198,127.0322133,
현대자동차성내점,"서울특별시 강동구 천호대로 1096 1,2F  ",37.53542289,127.1332123,
신림점,서울특별시 관악구 신림로 318 청암두산위브센티움1층 ,37.48270594,126.9300744,
수원인계점,경기도 수원시 팔달구 권광로 195 학산빌딩1층  ,37.26507429,127.0325735,
판교아브뉴프랑점,경기도 성남시 분당구 동판교로177번길 25 ,37.39959685,127.1152913,
일산원마운트점,경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층 ,37.66466875,126.754391,
명동성당앞점,"서울특별시 중구 명동길 73 1,2층  ",37.56448088,126.9862072,
울산현대백화점점,울산광역시 남구 삼산로 261 현대백화점5층 ,35.54217739,129.3356123,
대구중앙로점,대구광역시 중구 중앙대로 412-18 ,35.86989299,128.5948522,
여의도교보증권카페점,서울특별시 영등포구 의사당대로 97 교보증권빌딩 2층 ,37.52250783,126.924594,
상봉엔터식스점,서울특별시 중랑구 망우로 353 프레미어스엠코 엔터식스 B동 2층 ,37.59827058,127.0905695,
여의도렉싱턴호텔옆점,서울특별시 영등포구 국회대로74길19 동우국제빌딩1층 ,37.52994539,126.921959,
